,embedding_dim,lstm_units_1,lstm_units_2,dense_units,dropout,validation_accuracy
2,64,64,64,128,0.3,0.829573929309845
10,192,32,64,32,0.6000000000000001,0.8270676732063293
17,256,32,48,128,0.4,0.8258145451545715
15,96,128,64,96,0.3,0.8245613972345988
19,160,32,32,32,0.5,0.8245613972345988
6,128,32,48,128,0.4,0.823308269182841
7,64,64,32,128,0.4,0.823308269182841
1,96,128,48,64,0.4,0.8220551212628683
12,256,64,16,32,0.4,0.8208019932111105
18,256,96,32,32,0.5,0.8208019932111105
11,64,64,16,32,0.5,0.8195488850275675
8,224,96,48,128,0.5,0.8195488651593527
4,128,96,16,64,0.5,0.8195488651593527
13,96,96,32,128,0.4,0.8182957371075948
14,128,128,64,64,0.4,0.8182957371075948
9,192,96,48,32,0.3,0.8170425891876221
3,64,32,32,64,0.4,0.8170425891876221
5,224,32,64,32,0.6000000000000001,0.8157894611358643
16,192,128,48,32,0.6000000000000001,0.8095238010088602
0,128,64,64,64,0.4,0.8070175250371298
